House Code,ZIP.Code,PO_NAME,ST_ABBRV,CTY_S_NAME,DMA_LONG_NAME,Latitude,Longitude,Num.of.Stores.within.10.miles
5202,75503,Texarkana,TX,Bowie County,"Shreveport, LA",33.4538193,-94.0980606,1
2114,33609,Tampa,FL,Hillsborough County,"Tampa-St.Petersburg (Sarasota), FL",27.94581858,-82.50533272,1
4229,7470,Wayne,NJ,Passaic County,"New York, NY",40.8884639,-74.26020312,2
2697,7652,Paramus,NJ,Bergen County,"New York, NY",40.91622949,-74.07552617,2
5212,28560,New Bern,NC,Craven County,"Greenville-New Bern-Washington, NC",35.0811996,-77.0302734,1
5216,19464,Pottstown,PA,Montgomery County,"Philadelphia, PA",40.2374683,-75.57212635,1
5222,27302,Mebane,NC,Alamance County,"Greensboro-High Point-Winston Salem, NC",36.0670204,-79.2990494,1
5244,13601,Watertown,NY,Jefferson County,"Watertown, NY",43.97653724,-75.94707065,1
5255,24073,Christiansburg,VA,Montgomery County,"Roanoke-Lynchburg, VA",37.13676996,-80.36146492,1
5275,44060,Mentor,OH,Lake County,"Cleveland-Akron (Canton), OH",41.71492,-81.2987976,1
5286,24523,Bedford,VA,Bedford County,"Roanoke-Lynchburg, VA",37.32610852,-79.50302672,1
5302,24901,Lewisburg,WV,Greenbrier County,"Bluefield-Beckley-Oak Hill, WV",37.81497656,-80.42867385,1
5309,45459,Dayton,OH,Montgomery County,"Dayton, OH",39.65815609,-84.15804116,1
5312,20152,Chantilly,VA,Loudoun County,"Washington, DC (Hagerstown, MD)",38.92520819,-77.51907551,1
4272,32225,Jacksonville,FL,Duval County,"Jacksonville, FL",30.33909131,-81.54328194,3
2702,32256,Jacksonville,FL,Duval County,"Jacksonville, FL",30.18364025,-81.55376812,3
4625,32224,Jacksonville,FL,Duval County,"Jacksonville, FL",30.2529793,-81.4656525,3
5319,44720,North Canton,OH,Stark County,"Cleveland-Akron (Canton), OH",40.8601685,-81.4327698,1
5356,53224,Milwaukee,WI,Milwaukee County,"Milwaukee, WI",43.1489182,-88.0459366,1
5411,85295,Gilbert,AZ,Maricopa County,"Phoenix (Prescott), AZ",33.3037796,-111.7432938,1
5418,85323,Avondale,AZ,Maricopa County,"Phoenix (Prescott), AZ",33.45781508,-112.3061231,1
5422,85281,Tempe,AZ,Maricopa County,"Phoenix (Prescott), AZ",33.432697,-111.906653,1
5537,33884,Winter Haven,FL,Polk County,"Tampa-St.Petersburg (Sarasota), FL",27.9898891,-81.6891022,1
7154,33914,Cape Coral,FL,Lee County,"Ft. Myers-Naples, FL",26.60513962,-81.97640005,3
7179,33908,Fort Myers,FL,Lee County,"Ft. Myers-Naples, FL",26.50910411,-81.90565865,3
5538,33909,Cape Coral,FL,Lee County,"Ft. Myers-Naples, FL",26.67192535,-81.93357497,3
5539,34453,Inverness,FL,Citrus County,"Tampa-St.Petersburg (Sarasota), FL",28.8560791,-82.3971176,1
5543,33928,Estero,FL,Lee County,"Ft. Myers-Naples, FL",26.43108763,-81.78549134,1
6173,35803,Huntsville,AL,Madison County,"Huntsville-Decatur (Florence), AL",34.61766244,-86.56759472,1
3185,27713,Durham,NC,Durham County,"Raleigh-Durham (Fayetteville), NC",35.91138788,-78.93854959,2
2760,27701,Durham,NC,Durham County,"Raleigh-Durham (Fayetteville), NC",36.0195198,-78.9094162,2
7043,49735,Gaylord,MI,Otsego County,"Traverse City-Cadillac, MI",45.02291841,-84.68757361,1
7044,49601,Cadillac,MI,Wexford County,"Traverse City-Cadillac, MI",44.28183595,-85.40224431,1
7045,49686,Traverse City,MI,Grand Traverse County,"Traverse City-Cadillac, MI",44.74506,-85.5403137,1
7046,48642,Midland,MI,Midland County,"Flint-Saginaw-Bay City, MI",43.65894342,-84.24384306,1
7075,48059,Fort Gratiot,MI,St. Clair County,"Detroit, MI",43.0335693,-82.4557724,1
7084,48858,Mount Pleasant,MI,Isabella County,"Flint-Saginaw-Bay City, MI",43.61227108,-84.76432175,1
7087,48348,Clarkston,MI,Oakland County,"Detroit, MI",42.73882466,-83.37923914,1
7089,48051,New Baltimore,MI,Macomb County,"Detroit, MI",42.67669407,-82.83215939,1
7114,4901,Waterville,ME,Kennebec County,"Portland-Auburn, ME",44.57041634,-69.64379721,1
7117,32837,Orlando,FL,Orange County,"Orlando-Daytona Beach-Melbourne, FL",28.37470422,-81.40414708,1
4174,19153,Philadelphia,PA,Philadelphia County,"Philadelphia, PA",39.8875613,-75.24707912,4
2764,19064,Springfield,PA,Delaware County,"Philadelphia, PA",39.91467105,-75.35173813,4
4718,19103,Philadelphia,PA,Philadelphia County,"Philadelphia, PA",39.95165626,-75.16856198,4
4842,19043,Holmes,PA,Delaware County,"Philadelphia, PA",39.89965374,-75.30390091,4
7121,32958,Sebastian,FL,Indian River County,"West Palm Beach-Ft. Pierce, FL",27.84230434,-80.48776777,1
7123,34788,Leesburg,FL,Lake County,"Orlando-Daytona Beach-Melbourne, FL",28.8256493,-81.797287,1
7124,33411,West Palm Beach,FL,Palm Beach County,"West Palm Beach-Ft. Pierce, FL",26.7079391,-80.2017593,1
7129,34677,Oldsmar,FL,Pinellas County,"Tampa-St.Petersburg (Sarasota), FL",28.0512905,-82.698349,1
7142,89032,North Las Vegas,NV,Clark County,"Las Vegas, NV",36.2388802,-115.154007,1
7147,34654,New Port Richey,FL,Pasco County,"Tampa-St.Petersburg (Sarasota), FL",28.2799206,-82.6740799,1
7149,34222,Ellenton,FL,Manatee County,"Tampa-St.Petersburg (Sarasota), FL",27.5316391,-82.5046005,1
7155,11729,Deer Park,NY,Suffolk County,"New York, NY",40.7611732,-73.3128128,1
7156,4769,Presque Isle,ME,Aroostook County,"Presque Isle, ME",46.69906439,-68.00497868,1
7157,34201,Bradenton,FL,Manatee County,"Tampa-St.Petersburg (Sarasota), FL",27.3895687,-82.45621222,1
3126,20770,Greenbelt,MD,Prince George's County,"Washington, DC (Hagerstown, MD)",38.99075493,-76.85455286,3
4730,20774,Upper Marlboro,MD,Prince George's County,"Washington, DC (Hagerstown, MD)",38.9127217,-76.83985208,3
2765,20716,Bowie,MD,Prince George's County,"Washington, DC (Hagerstown, MD)",38.9344101,-76.7195663,3
7160,33710,Saint Petersburg,FL,Pinellas County,"Tampa-St.Petersburg (Sarasota), FL",27.79277634,-82.73155417,1
7162,34613,Brooksville,FL,Hernando County,"Tampa-St.Petersburg (Sarasota), FL",28.5342808,-82.5102615,1
7163,32159,Lady Lake,FL,Lake County,"Orlando-Daytona Beach-Melbourne, FL",28.9417057,-81.9489212,1
7165,33870,Sebring,FL,Highlands County,"Tampa-St.Petersburg (Sarasota), FL",27.51511,-81.4934235,1
7166,33594,Valrico,FL,Hillsborough County,"Tampa-St.Petersburg (Sarasota), FL",27.9380856,-82.2577209,2
7210,33578,Riverview,FL,Hillsborough County,"Tampa-St.Petersburg (Sarasota), FL",27.85662577,-82.33033247,2
7178,33541,Zephyrhills,FL,Pasco County,"Tampa-St.Petersburg (Sarasota), FL",28.27210741,-82.1888009,1
7182,32817,Orlando,FL,Orange County,"Orlando-Daytona Beach-Melbourne, FL",28.5981503,-81.2222824,1
7191,4092,Westbrook,ME,Cumberland County,"Portland-Auburn, ME",43.67865568,-70.3295152,1
7226,80249,Denver,CO,Denver County,"Denver, CO",39.81993496,-104.7724361,1
7242,51501,Council Bluffs,IA,Pottawattamie County,"Omaha, NE",41.24030871,-95.89337138,2
7234,68123,Bellevue,NE,Sarpy County,"Omaha, NE",41.1595993,-95.9407578,2
5214,28390,Spring Lake,NC,Harnett County,"Raleigh-Durham (Fayetteville), NC",35.1650314,-78.9715576,4
4654,28304,Fayetteville,NC,Cumberland County,"Raleigh-Durham (Fayetteville), NC",35.0276794,-78.9289474,4
2769,28314,Fayetteville,NC,Cumberland County,"Raleigh-Durham (Fayetteville), NC",35.073658,-78.964775,4
4997,28312,Fayetteville,NC,Cumberland County,"Raleigh-Durham (Fayetteville), NC",35.00782678,-78.82670792,4
7244,68504,Lincoln,NE,Lancaster County,"Lincoln & Hastings-Kearny, NE",40.8646507,-96.6813507,1
7245,69101,North Platte,NE,Lincoln County,"North Platte, NE",41.11359493,-100.7656973,1
7248,68847,Kearney,NE,Buffalo County,"Lincoln & Hastings-Kearny, NE",40.67207928,-99.08407579,1
7249,68803,Grand Island,NE,Hall County,"Lincoln & Hastings-Kearny, NE",40.9312897,-98.3825989,1
7281,4412,Brewer,ME,Penobscot County,"Bangor, ME",44.776371,-68.7338409,1
7284,4086,Topsham,ME,Sagadahoc County,"Portland-Auburn, ME",43.9376004,-69.97991449,1
7290,4210,Auburn,ME,Androscoggin County,"Portland-Auburn, ME",44.1190414,-70.2325974,1
7291,4330,Augusta,ME,Kennebec County,"Portland-Auburn, ME",44.34862817,-69.78734642,1
7346,46805,Fort Wayne,IN,Allen County,"Ft. Wayne, IN",41.117023,-85.12632,1
7350,49014,Battle Creek,MI,Calhoun County,"Grand Rapids-Kalamazoo-Battle Creek, MI",42.26144289,-85.17733961,1
4434,28217,Charlotte,NC,Mecklenburg County,"Charlotte, NC",35.13873758,-80.90830381,3
2815,28227,Charlotte,NC,Mecklenburg County,"Charlotte, NC",35.1618881,-80.7377777,3
4432,28277,Charlotte,NC,Mecklenburg County,"Charlotte, NC",35.0709496,-80.8431091,3
7355,48864,Okemos,MI,Ingham County,"Lansing, MI",42.7241057,-84.42001227,1
7359,55076,Inver Grove Heights,MN,Dakota County,"Minneapolis-St. Paul, MN",44.81799213,-93.04413151,1
7368,46582,Warsaw,IN,Kosciusko County,"South Bend-Elkhart, IN",41.23754712,-85.81231381,1
7377,46703,Angola,IN,Steuben County,"Ft. Wayne, IN",41.6630287,-84.998909,1
7432,34711,Clermont,FL,Lake County,"Orlando-Daytona Beach-Melbourne, FL",28.5472603,-81.7049026,1
7456,63385,Wentzville,MO,St. Charles County,"St. Louis, MO",38.81245374,-90.8774558,1
7458,63376,Saint Peters,MO,St. Charles County,"St. Louis, MO",38.79776798,-90.62021283,1
7461,63028,Festus,MO,Jefferson County,"St. Louis, MO",38.2117615,-90.4071121,1
7467,62234,Collinsville,IL,Madison County,"St. Louis, MO",38.6842308,-90.0100174,2
7464,62208,Fairview Heights,IL,St. Clair County,"St. Louis, MO",38.5947609,-89.9851456,2
7466,63010,Arnold,MO,Jefferson County,"St. Louis, MO",38.41567122,-90.39105934,1
2837,20176,Leesburg,VA,Loudoun County,"Washington, DC (Hagerstown, MD)",39.1132485,-77.53634295,1
7470,63088,Valley Park,MO,St. Louis County,"St. Louis, MO",38.53706597,-90.49617107,1
7478,14626,Rochester,NY,Monroe County,"Rochester, NY",43.2097588,-77.6956406,1
7487,14750,Lakewood,NY,Chautauqua County,"Buffalo, NY",42.0984383,-79.3050995,1
7494,13126,Oswego,NY,Oswego County,"Syracuse, NY",43.4608159,-76.48981221,1
7630,48170,Plymouth,MI,Wayne County,"Detroit, MI",42.39173239,-83.51075421,3
7632,48377,Novi,MI,Oakland County,"Detroit, MI",42.49658895,-83.43860394,3
7574,48334,Farmington,MI,Oakland County,"Detroit, MI",42.4997597,-83.3575516,3
7581,48312,Sterling Heights,MI,Macomb County,"Detroit, MI",42.554829,-83.026154,2
7606,48066,Roseville,MI,Macomb County,"Detroit, MI",42.52425168,-82.91994253,2
7594,48162,Monroe,MI,Monroe County,"Detroit, MI",41.9505806,-83.4003372,1
7613,48176,Saline,MI,Washtenaw County,"Detroit, MI",42.1774597,-83.7581024,1
7629,48188,Canton,MI,Wayne County,"Detroit, MI",42.2721405,-83.4887695,1
7652,46902,Kokomo,IN,Howard County,"Indianapolis, IN",40.4440918,-86.1250229,1
2839,2777,Swansea,MA,Bristol County,"Providence-New Bedford, RI-MA",41.75464198,-71.21722614,1
7653,46013,Anderson,IN,Madison County,"Indianapolis, IN",40.0587502,-85.6520767,1
7654,46256,Indianapolis,IN,Marion County,"Indianapolis, IN",39.9266586,-86.0248413,1
7670,46124,Edinburgh,IN,Johnson County,"Indianapolis, IN",39.3113289,-85.963913,1
7671,46227,Indianapolis,IN,Marion County,"Indianapolis, IN",39.6511993,-86.1386566,1
7672,47304,Muncie,IN,Delaware County,"Indianapolis, IN",40.2185783,-85.4085617,1
7673,47802,Terre Haute,IN,Vigo County,"Terre Haute, IN",39.4259033,-87.4162064,1
7676,46268,Indianapolis,IN,Marion County,"Indianapolis, IN",39.9192489,-86.22592827,1
7685,64012,Belton,MO,Cass County,"Kansas City, MO-KS",38.8141899,-94.5142288,1
7721,33325,Fort Lauderdale,FL,Broward County,"Miami-Ft. Lauderdale, FL",26.1113396,-80.3032074,1
7719,32137,Palm Coast,FL,Flagler County,"Orlando-Daytona Beach-Melbourne, FL",29.5541897,-81.2250671,1
2843,6451,Meriden,CT,New Haven County,"Hartford & New Haven, CT",41.55046666,-72.80621596,2
2842,6416,Cromwell,CT,Middlesex County,"Hartford & New Haven, CT",41.6040753,-72.67657573,2
7734,33014,Hialeah,FL,Miami-Dade County,"Miami-Ft. Lauderdale, FL",25.9128799,-80.3088989,1
7743,62056,Litchfield,IL,Montgomery County,"St. Louis, MO",39.17707849,-89.67537369,1
7768,40324,Georgetown,KY,Scott County,"Lexington, KY",38.2229309,-84.538887,1
7883,65203,Columbia,MO,Boone County,"Columbia-Jefferson City, MO",38.9648285,-92.3707123,1
7884,65109,Jefferson City,MO,Cole County,"Columbia-Jefferson City, MO",38.5818214,-92.2103119,1
7885,65804,Springfield,MO,Greene County,"Springfield, MO",37.16251931,-93.26420152,2
7888,65803,Springfield,MO,Greene County,"Springfield, MO",37.2463799,-93.2615967,2
7886,64804,Joplin,MO,Jasper County,"Joplin-Pittsburg, MO-KS",37.0541573,-94.4781876,1
7887,65616,Branson,MO,Taney County,"Springfield, MO",36.637764,-93.2825394,1
7890,65584,Saint Robert,MO,Pulaski County,"Springfield, MO",37.8242912,-92.1469727,1
7895,63501,Kirksville,MO,Adair County,"Ottumwa-Kirksville, IA-MO",40.21856549,-92.58218278,1
2115,33803,Lakeland,FL,Polk County,"Tampa-St.Petersburg (Sarasota), FL",27.9972095,-81.9576797,2
2184,33830,Bartow,FL,Polk County,"Tampa-St.Petersburg (Sarasota), FL",27.91160208,-81.84312256,2
4639,23505,Norfolk,VA,Norfolk city,"Norfolk-Portsmouth-Newport News, VA",36.9150581,-76.2549286,7
2849,23462,Virginia Beach,VA,Virginia Beach city,"Norfolk-Portsmouth-Newport News, VA",36.8440819,-76.1305084,7
4156,23502,Norfolk,VA,Norfolk city,"Norfolk-Portsmouth-Newport News, VA",36.8631592,-76.2110977,7
2906,23320,Chesapeake,VA,Chesapeake city,"Norfolk-Portsmouth-Newport News, VA",36.77555795,-76.23053885,7
4906,23701,Portsmouth,VA,Portsmouth city,"Norfolk-Portsmouth-Newport News, VA",36.81116934,-76.35870075,7
4987,23505,Norfolk,VA,Norfolk city,"Norfolk-Portsmouth-Newport News, VA",36.9288406,-76.3183975,7
3114,23456,Virginia Beach,VA,Virginia Beach city,"Norfolk-Portsmouth-Newport News, VA",36.7889404,-76.1111374,7
7900,65775,West Plains,MO,Howell County,"Springfield, MO",36.71763608,-91.87362118,1
2851,16565,Erie,PA,Erie County,"Erie, PA",42.07045382,-80.09794382,1
2853,31525,Brunswick,GA,Glynn County,"Jacksonville, FL",31.21742208,-81.488991,1
4420,29501,Florence,SC,Florence County,"Myrtle Beach-Florence, SC",34.22579338,-79.79629202,3
2880,29501,Florence,SC,Florence County,"Myrtle Beach-Florence, SC",34.19128821,-79.83407494,3
4373,29505,Florence,SC,Florence County,"Myrtle Beach-Florence, SC",34.16154811,-79.75613657,3
2890,32605,Gainesville,FL,Alachua County,"Gainesville, FL",29.6579352,-82.41071108,1
2893,30188,Woodstock,GA,Cherokee County,"Atlanta, GA",34.0854301,-84.53125,1
2929,8330,Mays Landing,NJ,Atlantic County,"Philadelphia, PA",39.4535147,-74.64375979,1
2932,7728,Freehold,NJ,Monmouth County,"New York, NY",40.25329727,-74.3011043,4
4755,7753,Neptune,NJ,Monmouth County,"New York, NY",40.22369,-74.0863571,4
4783,7731,Howell,NJ,Monmouth County,"New York, NY",40.1285749,-74.22257855,4
3636,7724,Eatontown,NJ,Monmouth County,"New York, NY",40.28901896,-74.05541157,4
2946,19610,Reading,PA,Berks County,"Philadelphia, PA",40.34006436,-75.97102073,1
2954,8096,Woodbury,NJ,Gloucester County,"Philadelphia, PA",39.83044702,-75.09756075,1
2117,34238,Sarasota,FL,Sarasota County,"Tampa-St.Petersburg (Sarasota), FL",27.23425028,-82.49271462,1
3969,21046,Columbia,MD,Howard County,"Baltimore, MD",39.1803157,-76.8226299,3
2960,21061,Glen Burnie,MD,Anne Arundel County,"Baltimore, MD",39.13816881,-76.60682269,3
4726,21090,Linthicum Heights,MD,Anne Arundel County,"Baltimore, MD",39.207859,-76.678772,3
4971,12065,Clifton Park,NY,Saratoga County,"Albany-Schenectady-Troy, NY",42.86261829,-73.78455322,3
2962,12203,Albany,NY,Albany County,"Albany-Schenectady-Troy, NY",42.68917206,-73.85048196,3
4869,12110,Latham,NY,Albany County,"Albany-Schenectady-Troy, NY",42.7553101,-73.7722092,3
3019,19971,Rehoboth Beach,DE,Sussex County,"Salisbury, MD",38.7211914,-75.1188583,1
3366,22401,Fredericksburg,VA,Fredericksburg city,"Washington, DC (Hagerstown, MD)",38.29659156,-77.51187251,2
3023,22408,Fredericksburg,VA,Spotsylvania County,"Washington, DC (Hagerstown, MD)",38.24949155,-77.49777257,2
3911,23060,Glen Allen,VA,Henrico County,"Richmond-Petersburg, VA",37.6435585,-77.5663223,3
3042,23111,Mechanicsville,VA,Hanover County,"Richmond-Petersburg, VA",37.6118889,-77.3540115,3
5064,23230,Richmond,VA,Henrico County,"Richmond-Petersburg, VA",37.5867615,-77.4990234,3
3048,20678,Prince Frederick,MD,Calvert County,"Washington, DC (Hagerstown, MD)",38.5550117,-76.5969315,1
3113,29150,Sumter,SC,Sumter County,"Columbia, SC",33.95376132,-80.37834421,1
3136,36535,Foley,AL,Baldwin County,"Mobile-Pensacola (Ft. Walton Beach), AL-FL",30.3793335,-87.6834641,1
3142,37042,Clarksville,TN,Montgomery County,"Nashville, TN",36.5872383,-87.4139862,2
4636,37043,Clarksville,TN,Montgomery County,"Nashville, TN",36.5096207,-87.2734833,2
3799,23112,Midlothian,VA,Chesterfield County,"Richmond-Petersburg, VA",37.4407001,-77.58869462,2
3148,23235,Richmond,VA,Chesterfield County,"Richmond-Petersburg, VA",37.5074501,-77.6023636,2
2131,32114,Daytona Beach,FL,Volusia County,"Orlando-Daytona Beach-Melbourne, FL",29.19277598,-81.06817312,2
7119,32118,Daytona Beach,FL,Volusia County,"Orlando-Daytona Beach-Melbourne, FL",29.26303998,-81.02633052,2
3149,38555,Crossville,TN,Cumberland County,"Knoxville, TN",35.978801,-85.037674,1
3151,23834,Colonial Heights,VA,Colonial Heights city,"Richmond-Petersburg, VA",37.25641288,-77.39383895,2
5295,23860,Hopewell,VA,Hopewell city,"Richmond-Petersburg, VA",37.2614403,-77.3252869,2
3153,8865,Phillipsburg,NJ,Warren County,"New York, NY",40.67931443,-75.14849742,2
4886,18020,Bethlehem,PA,Northampton County,"Philadelphia, PA",40.6520691,-75.2907104,2
3162,23666,Hampton,VA,Hampton city,"Norfolk-Portsmouth-Newport News, VA",37.06048362,-76.42679707,2
4189,23693,Yorktown,VA,York County,"Norfolk-Portsmouth-Newport News, VA",37.1172714,-76.4646072,2
3170,36619,Mobile,AL,Mobile County,"Mobile-Pensacola (Ft. Walton Beach), AL-FL",30.59576047,-88.16177579,2
4983,36608,Mobile,AL,Mobile County,"Mobile-Pensacola (Ft. Walton Beach), AL-FL",30.67636116,-88.1457552,2
3175,27616,Raleigh,NC,Wake County,"Raleigh-Durham (Fayetteville), NC",35.8700409,-78.5820618,2
5122,27610,Raleigh,NC,Wake County,"Raleigh-Durham (Fayetteville), NC",35.7989807,-78.5614014,2
3180,28152,Shelby,NC,Cleveland County,"Charlotte, NC",35.2680092,-81.4842529,1
3181,28054,Gastonia,NC,Gaston County,"Charlotte, NC",35.2630882,-81.1329193,1
3182,27511,Cary,NC,Wake County,"Raleigh-Durham (Fayetteville), NC",35.76180254,-78.74215972,1
3183,28602,Hickory,NC,Catawba County,"Charlotte, NC",35.70796022,-81.30748341,1
2136,34474,Ocala,FL,Marion County,"Orlando-Daytona Beach-Melbourne, FL",29.15432768,-82.18059949,1
3198,36571,Saraland,AL,Mobile County,"Mobile-Pensacola (Ft. Walton Beach), AL-FL",30.80265075,-88.10230079,1
